farm_id,region,season,irrigation,soil_quality,rice_variety,rainfall_mm,temperature_c,humidity_pct,fertilizer_kg_ha,pesticide_l_ha,land_area_ha,planting_density,yield_ton_ha,risk_category
FARM_225,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas C,123.65,26.24,61.71,90.91,0.85,1.77,24.7,7.52,Risiko Rendah
FARM_043,Dataran Rendah,Musim Hujan,Teknis,Tinggi,Varietas B,179.52,27.05,80.64,61.03,2.61,1.72,26.28,7.67,Risiko Rendah
FARM_286,Dataran Rendah,Musim Kemarau,Semi Teknis,Rendah,Varietas A,118.41,25.24,68.18,,2.54,0.88,26.21,5.83,Risiko Rendah
FARM_303,Dataran Menengah,Musim Kemarau,Tadah Hujan,Tinggi,Varietas B,193.1,25.04,56.9,108.04,2.43,2.08,26.65,7.07,Risiko Rendah
FARM_057,Dataran Rendah,Musim Hujan,Teknis,Tinggi,Varietas B,314.36,26.12,83.94,107.33,1.71,1.08,16.56,6.03,Risiko Rendah
FARM_273,Tadah Hujan,Musim Hujan,Teknis,Sedang,Varietas B,193.83,25.95,83.35,148.52,3.84,3.52,22.07,8.94,Risiko Rendah
FARM_016,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas C,368.09,23.86,85.39,103.44,0.2,0.63,22.06,0.91,Risiko Tinggi
FARM_058,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas B,208.95,27.82,72.62,108.19,0.97,1.65,24.18,7.13,Risiko Rendah
FARM_249,Tadah Hujan,Musim Hujan,Semi Teknis,Sedang,Varietas B,210.44,27.55,78.04,104.12,1.75,1.17,27.39,7.44,Risiko Rendah
FARM_125,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas C,58.8,25.67,77.13,103.12,2.24,1.27,17.95,6.08,Risiko Rendah
FARM_083,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,247.54,27.51,80.55,120.44,2.78,0.91,23.69,8.38,Risiko Rendah
