rainfall,humidity,temperature,soil_moisture,irrigation,fertilizer_A,fertilizer_B,sunlight_intensity,soil_pH,pest_index,yield
210,88,26,72,65,120,118,5.2,6.5,22,7.80
193,81,29,65,59,111,109,6.2,6.3,31,6.91
230,91,24,77,71,128,126,4.7,6.7,19,8.34
175,78,30,61,55,107,104,6.8,6.2,35,6.45
245,93,23,81,74,133,130,4.3,6.8,17,8.68
198,84,27,69,62,116,113,5.7,6.4,26,7.42
186,80,29,64,58,110,107,6.4,6.3,32,6.77
222,89,25,74,68,125,122,5.0,6.6,21,8.01
168,75,31,58,52,102,99,7.0,6.1,39,6.02
238,92,24,79,73,131,128,4.5,6.7,18,8.51
205,86,27,71,64,118,115,5.5,6.5,24,7.63
180,79,30,62,56,108,105,6.7,6.2,34,6.51
250,94,22,83,76,136,133,4.0,6.9,15,8.89
196,83,28,67,61,114,111,6.0,6.4,28,7.23
214,87,26,73,66,122,119,5.3,6.5,23,7.91
171,76,31,59,53,104,101,6.9,6.1,37,6.16
233,90,25,76,70,127,124,4.8,6.6,20,8.19
188,81,29,65,59,112,109,6.3,6.3,30,6.88
241,93,23,80,74,132,129,4.4,6.8,17,8.60
200,85,27,70,63,117,114,5.6,6.4,25,7.55
207,87,26,72,65,120,117,5.4,6.5,22,7.78
194,82,28,66,60,113,110,6.1,6.3,29,7.12
227,90,25,75,69,126,123,4.9,6.6,20,8.10
173,77,31,60,54,105,102,6.8,6.1,36,6.28
243,92,23,81,75,134,131,4.2,6.8,16,8.73
199,84,27,69,62,116,113,5.8,6.4,26,7.39
184,79,30,63,57,109,106,6.5,6.2,33,6.66
219,88,25,74,67,124,121,5.1,6.6,22,7.97
166,74,32,57,51,101,98,7.2,6.0,40,5.93
236,91,24,78,72,130,127,4.6,6.7,18,8.45
212,86,26,72,65,121,118,5.3,6.5,23,7.82
191,82,28,66,60,113,110,6.1,6.3,29,7.05
229,90,25,76,70,127,124,4.8,6.6,20,8.14
174,77,31,60,54,105,102,6.9,6.1,36,6.31
247,94,22,82,75,135,132,4.1,6.9,15,8.81
201,85,27,70,63,117,114,5.6,6.4,25,7.50
182,79,30,62,56,108,105,6.6,6.2,34,6.57
224,89,25,75,68,125,122,5.0,6.6,21,8.06
169,75,32,58,52,102,99,7.1,6.0,39,6.04
239,92,24,79,73,131,128,4.5,6.7,18,8.53
208,87,26,72,65,120,117,5.4,6.5,22,7.80
195,83,28,67,61,114,111,6.0,6.4,28,7.20
231,91,24,77,71,128,125,4.7,6.7,19,8.31
176,78,30,61,55,107,104,6.8,6.2,35,6.47
244,93,23,81,74,133,130,4.3,6.8,17,8.66
197,84,27,69,62,116,113,5.7,6.4,26,7.40
185,80,29,64,58,110,107,6.4,6.3,32,6.73
221,88,25,74,68,124,121,5.1,6.6,21,8.00
167,74,31,58,52,102,99,7.0,6.1,39,5.99
237,92,24,79,73,131,128,4.5,6.7,18,8.49
204,86,27,71,64,118,115,5.5,6.5,24,7.61
181,79,30,62,56,108,105,6.7,6.2,34,6.53
249,94,22,83,76,136,133,4.0,6.9,15,8.91
193,82,28,66,60,113,110,6.1,6.3,29,7.08
215,87,26,73,66,122,119,5.3,6.5,23,7.95
170,76,31,59,53,104,101,6.9,6.1,37,6.12
232,90,25,76,70,127,124,4.8,6.6,20,8.18
189,81,29,65,59,112,109,6.3,6.3,30,6.85
240,93,23,80,74,132,129,4.4,6.8,17,8.58
202,85,27,70,63,117,114,5.6,6.4,25,7.57
206,86,26,71,64,119,116,5.5,6.5,24,7.70
192,82,28,66,60,113,110,6.2,6.3,29,7.09
228,89,25,75,69,126,123,4.9,6.6,20,8.11
172,77,31,60,54,105,102,6.8,6.1,36,6.26
246,94,22,82,75,135,132,4.1,6.9,15,8.85
203,85,27,70,63,117,114,5.6,6.4,25,7.54
183,79,30,63,57,109,106,6.5,6.2,33,6.69
223,88,25,74,67,124,121,5.1,6.6,22,7.99
165,74,32,57,51,101,98,7.2,6.0,40,5.91
235,91,24,78,72,130,127,4.6,6.7,18,8.43
211,86,26,72,65,121,118,5.3,6.5,23,7.84
190,82,28,66,60,113,110,6.1,6.3,29,7.06
226,90,25,75,69,126,123,4.9,6.6,20,8.09
177,78,30,61,55,107,104,6.8,6.2,35,6.48
248,94,22,83,76,136,133,4.0,6.9,15,8.90
197,84,27,69,62,116,113,5.7,6.4,26,7.41
187,80,29,64,58,110,107,6.4,6.3,32,6.75
220,88,25,74,68,124,121,5.1,6.6,21,8.02
164,73,32,56,50,100,97,7.3,6.0,41,5.82
234,91,24,78,72,130,127,4.6,6.7,18,8.44
209,87,26,72,65,120,117,5.4,6.5,22,7.79
196,83,28,67,61,114,111,6.0,6.4,28,7.21
230,91,24,77,71,128,125,4.7,6.7,19,8.32
178,78,30,61,55,107,104,6.8,6.2,35,6.49
242,93,23,81,74,133,130,4.3,6.8,17,8.65
198,84,27,69,62,116,113,5.7,6.4,26,7.43
186,80,29,64,58,110,107,6.4,6.3,32,6.76
218,88,25,74,68,124,121,5.1,6.6,21,7.98
168,75,31,58,52,102,99,7.0,6.1,39,6.01
238,92,24,79,73,131,128,4.5,6.7,18,8.50
205,86,27,71,64,118,115,5.5,6.5,24,7.62
182,79,30,62,56,108,105,6.7,6.2,34,6.55
250,94,22,83,76,136,133,4.0,6.9,15,8.92
194,82,28,66,60,113,110,6.1,6.3,29,7.10
214,87,26,73,66,122,119,5.3,6.5,23,7.93
171,76,31,59,53,104,101,6.9,6.1,37,6.14
233,90,25,76,70,127,124,4.8,6.6,20,8.17
188,81,29,65,59,112,109,6.3,6.3,30,6.87
241,93,23,80,74,132,129,4.4,6.8,17,8.59
200,85,27,70,63,117,114,5.6,6.4,25,7.56
207,86,26,71,64,119,116,5.5,6.5,24,7.72
191,82,28,66,60,113,110,6.2,6.3,29,7.07
227,89,25,75,69,126,123,4.9,6.6,20,8.12
173,77,31,60,54,105,102,6.8,6.1,36,6.27
245,94,22,82,75,135,132,4.1,6.9,15,8.84
204,85,27,70,63,117,114,5.6,6.4,25,7.53
184,79,30,63,57,109,106,6.5,6.2,33,6.68
224,88,25,74,67,124,121,5.1,6.6,22,8.01
166,74,32,57,51,101,98,7.2,6.0,40,5.90
236,91,24,78,72,130,127,4.6,6.7,18,8.42
213,86,26,72,65,121,118,5.3,6.5,23,7.85
192,82,28,66,60,113,110,6.1,6.3,29,7.11
229,90,25,75,69,126,123,4.9,6.6,20,8.13
179,78,30,61,55,107,104,6.8,6.2,35,6.50
247,94,22,83,76,136,133,4.0,6.9,15,8.88
199,84,27,69,62,116,113,5.7,6.4,26,7.44
187,80,29,64,58,110,107,6.4,6.3,32,6.74
219,88,25,74,68,124,121,5.1,6.6,21,8.03
167,75,31,58,52,102,99,7.0,6.1,39,6.00
237,92,24,79,73,131,128,4.5,6.7,18,8.48
206,86,27,71,64,118,115,5.5,6.5,24,7.64
181,79,30,62,56,108,105,6.7,6.2,34,6.54
249,94,22,83,76,136,133,4.0,6.9,15,8.93
195,82,28,66,60,113,110,6.1,6.3,29,7.13
216,87,26,73,66,122,119,5.3,6.5,23,7.96
170,76,31,59,53,104,101,6.9,6.1,37,6.15
232,90,25,76,70,127,124,4.8,6.6,20,8.16
189,81,29,65,59,112,109,6.3,6.3,30,6.86
240,93,23,80,74,132,129,4.4,6.8,17,8.57
201,85,27,70,63,117,114,5.6,6.4,25,7.58
